Stock: BB
For: BB , 2020-12-01 is already in storage
For: BB , 2020-12-02 is already in storage
For: BB , 2020-12-03 is already in storage
For: BB , 2020-12-04 is already in storage
For: BB , 2020-12-07 is already in storage
For: BB , 2020-12-08 is already in storage
For: BB , 2020-12-09 is already in storage
For: BB , 2020-12-10 is already in storage
For: BB , 2020-12-11 is already in storage
For: BB , 2020-12-14 is already in storage
For: BB , 2020-12-15 is already in storage
For: BB , 2020-12-16 is already in storage
For: BB , 2020-12-17 is already in storage
For: BB , 2020-12-18 is already in storage
For: BB , 2020-12-21 is already in storage
For: BB , 2020-12-22 is already in storage
For: BB , 2020-12-23 is already in storage
For: BB , 2020-12-24 is already in storage
For: BB , 2020-12-28 is already in storage
For: BB , 2020-12-29 is already in storage
For: BB , 2020-12-30 is already in storage
For: BB , 2020-12-31 is already in storage
For: BB , 2021-01-04 is already in storage
For: BB , 2021-01-05 is already in storage
For: BB , 2021-01-06 is already in storage
For: BB , 2021-01-07 is already in storage
For: BB , 2021-01-08 is already in storage
For: BB , 2021-01-11 is already in storage
For: BB , 2021-01-12 is already in storage
For: BB , 2021-01-13 is already in storage
For: BB , 2021-01-14 is already in storage
For: BB , 2021-01-15 is already in storage
For: BB , 2021-01-19 is already in storage
For: BB , 2021-01-20 is already in storage
For: BB , 2021-01-21 is already in storage
For: BB , 2021-01-22 is already in storage
For: BB , 2021-01-25 is already in storage
For: BB , 2021-01-26 is already in storage
For: BB , 2021-01-27 is already in storage
For: BB , 2021-01-28 is already in storage
For: BB , 2021-01-29 is already in storage
For: BB , 2021-02-01 is already in storage
For: BB , 2021-02-02 is already in storage
For: BB , 2021-02-03 is already in storage
For: BB , 2021-02-04 is already in storage
For: BB , 2021-02-05 is already in storage
For: BB , 2021-02-08 is already in storage
For: BB , 2021-02-09 is already in storage
For: BB , 2021-02-10 is already in storage
For: BB , 2021-02-11 is already in storage
For: BB , 2021-02-12 is already in storage
For: BB , 2021-02-16 is already in storage
For: BB , 2021-02-17 is already in storage
For: BB , 2021-02-18 is already in storage
For: BB , 2021-02-19 is already in storage
For: BB , 2021-02-22 is already in storage
For: BB , 2021-02-23 is already in storage
For: BB , 2021-02-24 is already in storage
For: BB , 2021-02-25 is already in storage
For: BB , 2021-02-26 is already in storage
For: BB , 2021-03-01 is already in storage
For: BB , 2021-03-02 is already in storage
For: BB , 2021-03-03 is already in storage
For: BB , 2021-03-04 is already in storage
For: BB , 2021-03-05 is already in storage
For: BB , 2021-03-08 is already in storage
For: BB , 2021-03-09 is already in storage
For: BB , 2021-03-10 is already in storage
For: BB , 2021-03-11 is already in storage
For: BB , 2021-03-12 is already in storage
For: BB , 2021-03-15 is already in storage
For: BB , 2021-03-16 is already in storage
For: BB , 2021-03-17 is already in storage
For: BB , 2021-03-18 is already in storage
For: BB , 2021-03-19 is already in storage
For: BB , 2021-03-22 is already in storage
For: BB , 2021-03-23 is already in storage
For: BB , 2021-03-24 is already in storage
For: BB , 2021-03-25 is already in storage
For: BB , 2021-03-26 is already in storage
For: BB , 2021-03-29 is already in storage
For: BB , 2021-03-30 is already in storage
For: BB , 2021-03-31 is already in storage
For: BB , 2021-04-01 is already in storage
For: BB , 2021-04-05 is already in storage
For: BB , 2021-04-06 is already in storage
For: BB , 2021-04-07 is already in storage
For: BB , 2021-04-08 is already in storage
For: BB , 2021-04-09 is already in storage
For: BB , 2021-04-12 is already in storage
For: BB , 2021-04-13 is already in storage
For: BB , 2021-04-14 is already in storage
For: BB , 2021-04-15 is already in storage
For: BB , 2021-04-16 is already in storage
For: BB , 2021-04-19 is already in storage
For: BB , 2021-04-20 is already in storage
For: BB , 2021-04-21 is already in storage
For: BB , 2021-04-22 is already in storage
For: BB , 2021-04-23 is already in storage
For: BB , 2021-04-26 is already in storage
For: BB , 2021-04-27 is already in storage
For: BB , 2021-04-28 is already in storage
For: BB , 2021-04-29 is already in storage
For: BB , 2021-04-30 is already in storage
For: BB , 2021-05-03 is already in storage
For: BB , 2021-05-04 is already in storage
For: BB , 2021-05-05 is already in storage
For: BB , 2021-05-06 is already in storage
For: BB , 2021-05-07 is already in storage
For: BB , 2021-05-10 is already in storage
For: BB , 2021-05-11 is already in storage
For: BB , 2021-05-12 is already in storage
For: BB , 2021-05-13 is already in storage
For: BB , 2021-05-14 is already in storage
For: BB , 2021-05-17 is already in storage
For: BB , 2021-05-18 is already in storage
For: BB , 2021-05-19 is already in storage
For: BB , 2021-05-20 is already in storage
For: BB , 2021-05-21 is already in storage
For: BB , 2021-05-24 is already in storage
For: BB , 2021-05-25 is already in storage
For: BB , 2021-05-26 is already in storage
For: BB , 2021-05-27 is already in storage
For: BB , 2021-05-28 is already in storage
For: BB , 2021-06-01 is already in storage
For: BB , 2021-06-02 is already in storage
For: BB , 2021-06-03 is already in storage
For: BB , 2021-06-04 is already in storage
For: BB , 2021-06-07 is already in storage
For: BB , 2021-06-08 is already in storage
For: BB , 2021-06-09 is already in storage
For: BB , 2021-06-10 is already in storage
For: BB , 2021-06-11 is already in storage
For: BB , 2021-06-14 is already in storage
For: BB , 2021-06-15 is already in storage
For: BB , 2021-06-16 is already in storage
For: BB , 2021-06-17 is already in storage
For: BB , 2021-06-18 is already in storage
For: BB , 2021-06-21 is already in storage
For: BB , 2021-06-22 is already in storage
For: BB , 2021-06-23 is already in storage
For: BB , 2021-06-24 is already in storage
For: BB , 2021-06-25 is already in storage
For: BB , 2021-06-28 is already in storage
For: BB , 2021-06-29 is already in storage
For: BB , 2021-06-30 is already in storage
For: BB , 2021-07-01 is already in storage
For: BB , 2021-07-02 is already in storage
For: BB , 2021-07-06 is already in storage
For: BB , 2021-07-07 is already in storage
For: BB , 2021-07-08 is already in storage
For: BB , 2021-07-09 is already in storage
For: BB , 2021-07-12 is already in storage
For: BB , 2021-07-13 is already in storage
For: BB , 2021-07-14 is already in storage
For: BB , 2021-07-15 is already in storage
For: BB , 2021-07-16 is already in storage
For: BB , 2021-07-19 is already in storage
For: BB , 2021-07-20 is already in storage
For: BB , 2021-07-21 is already in storage
For: BB , 2021-07-22 is already in storage
Stock: NVGS
For: NVGS , 2020-12-01 is already in storage
For: NVGS , 2020-12-02 is already in storage
For: NVGS , 2020-12-03 is already in storage
For: NVGS , 2020-12-04 is already in storage
For: NVGS , 2020-12-07 is already in storage
For: NVGS , 2020-12-08 is already in storage
For: NVGS , 2020-12-09 is already in storage
For: NVGS , 2020-12-10 is already in storage
For: NVGS , 2020-12-11 is already in storage
For: NVGS , 2020-12-14 is already in storage
For: NVGS , 2020-12-15 is already in storage
For: NVGS , 2020-12-16 is already in storage
For: NVGS , 2020-12-17 is already in storage
For: NVGS , 2020-12-18 is already in storage
For: NVGS , 2020-12-21 is already in storage
For: NVGS , 2020-12-22 is already in storage
For: NVGS , 2020-12-23 is already in storage
For: NVGS , 2020-12-24 is already in storage
For: NVGS , 2020-12-28 is already in storage
For: NVGS , 2020-12-29 is already in storage
For: NVGS , 2020-12-30 is already in storage
For: NVGS , 2020-12-31 is already in storage
For: NVGS , 2021-01-04 is already in storage
For: NVGS , 2021-01-05 is already in storage
For: NVGS , 2021-01-06 is already in storage
For: NVGS , 2021-01-07 is already in storage
For: NVGS , 2021-01-08 is already in storage
For: NVGS , 2021-01-11 is already in storage
For: NVGS , 2021-01-12 is already in storage
For: NVGS , 2021-01-13 is already in storage
For: NVGS , 2021-01-14 is already in storage
For: NVGS , 2021-01-15 is already in storage
For: NVGS , 2021-01-19 is already in storage
For: NVGS , 2021-01-20 is already in storage
For: NVGS , 2021-01-21 is already in storage
For: NVGS , 2021-01-22 is already in storage
For: NVGS , 2021-01-25 is already in storage
For: NVGS , 2021-01-26 is already in storage
For: NVGS , 2021-01-27 is already in storage
For: NVGS , 2021-01-28 is already in storage
For: NVGS , 2021-01-29 is already in storage
For: NVGS , 2021-02-01 is already in storage
For: NVGS , 2021-02-02 is already in storage
For: NVGS , 2021-02-03 is already in storage
For: NVGS , 2021-02-04 is already in storage
For: NVGS , 2021-02-05 is already in storage
For: NVGS , 2021-02-08 is already in storage
For: NVGS , 2021-02-09 is already in storage
For: NVGS , 2021-02-10 is already in storage
For: NVGS , 2021-02-11 is already in storage
For: NVGS , 2021-02-12 is already in storage
For: NVGS , 2021-02-16 is already in storage
For: NVGS , 2021-02-17 is already in storage
For: NVGS , 2021-02-18 is already in storage
For: NVGS , 2021-02-19 is already in storage
For: NVGS , 2021-02-22 is already in storage
For: NVGS , 2021-02-23 is already in storage
For: NVGS , 2021-02-24 is already in storage
For: NVGS , 2021-02-25 is already in storage
For: NVGS , 2021-02-26 is already in storage
For: NVGS , 2021-03-01 is already in storage
For: NVGS , 2021-03-02 is already in storage
For: NVGS , 2021-03-03 is already in storage
For: NVGS , 2021-03-04 is already in storage
For: NVGS , 2021-03-05 is already in storage
For: NVGS , 2021-03-08 is already in storage
For: NVGS , 2021-03-09 is already in storage
